fra;week;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-S49;2476;2279;4764;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S49;3798;2073;5874;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S49;3345;947;4294;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S49;40979;31457;72716;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S50;1279;1341;2662;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S50;4540;4559;9193;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S50;6401;4974;11402;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S50;6593;5132;11746;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S50;6388;5072;11494;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S50;5802;5064;10896;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S50;3735;3636;7390;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S50;2789;2648;5446;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S50;3765;2134;5905;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S50;3167;922;4091;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S50;44472;35490;80252;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S51;1384;1482;2918;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S51;5760;5573;11437;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S51;8052;5996;14083;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S51;8293;6638;14950;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S51;7912;6308;14244;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S51;7330;6358;13712;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S51;4830;4789;9641;4209745.81020426;3794336.95009999;69;8004082.76030424
