reg,age,date,nb_hosp,nb-rea,nb_hospconv,SSR_USLD,rad_Tot,dec_Tot,AgeGroup
52,90,2020-03-20,8,0,,,0,1,"[90,+]"
53,0,2020-03-20,94,25,,,55,12,"[0,9]"
53,29,2020-03-20,1,0,,,3,0,"[20,39]"
53,39,2020-03-20,4,2,,,4,0,"[30,39]"
53,49,2020-03-20,2,0,,,1,0,"[40,49]"
53,59,2020-03-20,10,4,,,10,0,"[50,59]"
53,69,2020-03-20,15,0,,,14,1,"[60,69]"
53,79,2020-03-20,24,12,,,16,1,"[70,79]"
53,89,2020-03-20,30,7,,,4,6,"[80,89]"
53,90,2020-03-20,7,0,,,1,4,"[90,+]"
75,0,2020-03-20,65,15,,,31,4,"[0,9]"
75,29,2020-03-20,3,1,,,4,0,"[20,39]"
75,39,2020-03-20,1,0,,,7,0,"[30,39]"
75,49,2020-03-20,3,1,,,2,0,"[40,49]"
75,59,2020-03-20,8,2,,,4,1,"[50,59]"
75,69,2020-03-20,11,4,,,7,1,"[60,69]"
75,79,2020-03-20,12,5,,,4,0,"[70,79]"
75,89,2020-03-20,21,2,,,0,1,"[80,89]"
75,90,2020-03-20,5,0,,,1,1,"[90,+]"
76,0,2020-03-20,183,66,,,73,21,"[0,9]"
76,9,2020-03-20,1,0,,,7,0,"[0,9]"
76,29,2020-03-20,3,0,,,5,1,"[20,39]"
76,39,2020-03-20,4,1,,,9,0,"[30,39]"
76,49,2020-03-20,13,6,,,7,0,"[40,49]"
76,59,2020-03-20,21,9,,,18,1,"[50,59]"
76,69,2020-03-20,49,20,,,4,0,"[60,69]"
76,79,2020-03-20,56,24,,,16,5,"[70,79]"
76,89,2020-03-20,28,5,,,2,12,"[80,89]"
76,90,2020-03-20,7,1,,,0,2,"[90,+]"
84,0,2020-03-20,463,87,,,179,33,"[0,9]"
84,9,2020-03-20,2,1,,,1,0,"[0,9]"
84,29,2020-03-20,2,0,,,12,0,"[20,39]"
84,39,2020-03-20,13,2,,,19,1,"[30,39]"
84,49,2020-03-20,19,3,,,18,0,"[40,49]"
84,59,2020-03-20,39,13,,,27,1,"[50,59]"
84,69,2020-03-20,66,21,,,29,1,"[60,69]"
84,79,2020-03-20,120,36,,,41,7,"[70,79]"
84,89,2020-03-20,135,9,,,20,14,"[80,89]"
84,90,2020-03-20,58,0,,,8,9,"[90,+]"
93,0,2020-03-20,281,55,,,280,11,"[0,9]"
93,9,2020-03-20,2,0,,,5,0,"[0,9]"
93,19,2020-03-20,5,0,,,17,0,"[10,19]"
93,29,2020-03-20,6,1,,,41,0,"[20,39]"
93,39,2020-03-20,23,0,,,32,0,"[30,39]"
93,49,2020-03-20,37,5,,,53,0,"[40,49]"
93,59,2020-03-20,50,7,,,55,0,"[50,59]"
93,69,2020-03-20,62,13,,,37,1,"[60,69]"
93,79,2020-03-20,51,21,,,26,2,"[70,79]"
93,89,2020-03-20,32,7,,,13,7,"[80,89]"
93,90,2020-03-20,13,1,,,1,1,"[90,+]"
94,0,2020-03-20,66,14,,,33,3,"[0,9]"
94,9,2020-03-20,2,0,,,0,0,"[0,9]"
94,29,2020-03-20,2,0,,,6,0,"[20,39]"
94,39,2020-03-20,1,0,,,6,0,"[30,39]"
94,49,2020-03-20,2,0,,,7,0,"[40,49]"
94,59,2020-03-20,10,3,,,5,0,"[50,59]"
94,69,2020-03-20,12,5,,,5,1,"[60,69]"
94,79,2020-03-20,17,4,,,1,1,"[70,79]"
94,89,2020-03-20,16,1,,,1,0,"[80,89]"
94,90,2020-03-20,3,0,,,1,1,"[90,+]"
2,0,2020-03-21,19,5,,,0,1,"[0,9]"
2,29,2020-03-21,2,1,,,0,0,"[20,39]"
2,39,2020-03-21,3,0,,,0,0,"[30,39]"
2,49,2020-03-21,3,1,,,0,0,"[40,49]"
2,59,2020-03-21,6,0,,,0,0,"[50,59]"
2,69,2020-03-21,4,3,,,0,0,"[60,69]"
2,79,2020-03-21,1,0,,,0,0,"[70,79]"
4,0,2020-03-21,2,2,,,0,0,"[0,9]"
4,79,2020-03-21,1,1,,,0,0,"[70,79]"
4,89,2020-03-21,1,1,,,0,0,"[80,89]"
11,0,2020-03-21,2178,567,,,457,126,"[0,9]"
11,9,2020-03-21,11,3,,,8,0,"[0,9]"
11,19,2020-03-21,7,2,,,3,0,"[10,19]"
11,29,2020-03-21,29,7,,,36,0,"[20,39]"
11,39,2020-03-21,120,33,,,68,0,"[30,39]"
11,49,2020-03-21,197,60,,,50,4,"[40,49]"
11,59,2020-03-21,374,141,,,91,5,"[50,59]"
11,69,2020-03-21,412,132,,,76,16,"[60,69]"
11,79,2020-03-21,440,128,,,63,33,"[70,79]"
11,89,2020-03-21,382,53,,,47,51,"[80,89]"
11,90,2020-03-21,162,3,,,11,13,"[90,+]"
24,0,2020-03-21,64,15,,,6,3,"[0,9]"
24,19,2020-03-21,1,0,,,0,0,"[10,19]"
24,29,2020-03-21,1,0,,,0,0,"[20,39]"
24,39,2020-03-21,1,0,,,1,0,"[30,39]"
24,49,2020-03-21,3,1,,,0,0,"[40,49]"
24,59,2020-03-21,7,2,,,2,0,"[50,59]"
24,69,2020-03-21,14,4,,,1,0,"[60,69]"
24,79,2020-03-21,18,7,,,2,1,"[70,79]"
24,89,2020-03-21,12,1,,,0,2,"[80,89]"
24,90,2020-03-21,7,0,,,0,0,"[90,+]"
27,0,2020-03-21,297,82,,,104,35,"[0,9]"
27,9,2020-03-21,1,0,,,0,0,"[0,9]"
27,29,2020-03-21,3,1,,,10,0,"[20,39]"
27,39,2020-03-21,8,2,,,9,0,"[30,39]"
27,49,2020-03-21,14,4,,,12,0,"[40,49]"
27,59,2020-03-21,35,14,,,21,2,"[50,59]"
27,69,2020-03-21,66,25,,,9,1,"[60,69]"
27,79,2020-03-21,70,21,,,15,11,"[70,79]"
27,89,2020-03-21,72,14,,,15,15,"[80,89]"
27,90,2020-03-21,27,0,,,11,6,"[90,+]"
28,0,2020-03-21,100,22,,,15,6,"[0,9]"
28,29,2020-03-21,1,0,,,2,0,"[20,39]"
28,39,2020-03-21,3,1,,,0,0,"[30,39]"
